帚	⿳𫜹冖巾
[⿱𫜹冖]	⿱𫜹冖
其	⿱[⿴廿乂]丌
彗	⿱珏𫜹
[⿴廿乂]	⿴廿乂
𦥑	⿰又又
廾	⿰又又
[⿱爪又]	⿱爪又
共	⿱廿廾
双	⿰又又
舁	⿱𦥑廾
叒	⿱又⿰又又
[⿱中一]	⿱中一
[⿴𦥑角]	⿱甲口
夅	⿱夊㐄
[⿰幺幺]	⿰幺幺
从	⿰人人
林	⿰木木
秝	⿰禾禾
絲	⿰糸糸
开	⿰干干
爻	⿱乂乂/⿱㐅㐅
茲	⿰玄玄
炏	⿰火火
廿	⿰十十
兩	⿱帀⿰入入
吅	⿰口口
炎	⿱火火
舛	⿰夊㐄
竹	⿰个个
个	⿱人丨/⿱入丨
艸	⿰屮屮
鬥	⿰丮丮
非	⿰万万
卯	⿰卩卩
丽	⿱一⿰凡凡
北	⿰人𠤎
合	⿱亼口
冓	⿱再再
圭	⿱土土
[⿰贝贝]	⿰贝贝
贝	⿱冖人
賏	⿰貝貝
并	⿻⿰人人一
朋	⿰貝貝/⿰月月
[⿰卩卩]	⿰卩卩
珏	⿰王王/⿰玉玉
兓	⿰兂兂
臸	⿰至至
㯥	⿰東東
步	⿱止止
㹜	⿰犬犬
癶	⿰止止
䀠	⿰目目
[⿱⿰幺幺丱]	⿰糸糸
斦	⿰斤斤
㚘	⿰夫夫
[林]	⿰木木
多	⿱肉肉
茻	⿱⿰屮屮⿰屮屮
㠭	⿱⿰工工⿰工工
[⿱屮⿰屮屮]	⿱屮⿰屮屮
厽	⿱厶⿰厶厶
齊	⿱⿲口口口凡
品	⿱口⿰口口
垚	⿱土⿰土土
畾	⿱[田3]⿰[田3][田3]
卉	⿱屮⿰屮屮/⿱十⿰十十
孨	⿱子⿰子子
斉	⿱文凡
[⿺𠃊米]	⿺𠃊米/⿱米𠃊
㡭	⿱⿰幺幺⿰幺幺/⿱⿱⿰幺幺⿰幺幺𠃊
㸚	⿱⿰㐅㐅⿰㐅㐅
乑	⿱人⿰人人
蟲	⿱虫⿰虫虫
齐	⿱文〢
叕	⿱⿰又又⿰又又
齿	⿱止[⿶凵人]/⿱2[⿶凵人]1止
髟	⿰長彡
鼻	⿱2畀1自/⿱自畀
糹	⿱幺小
纟	⿱幺一
食	⿱亼皀
飠	⿱亼皀
饣	⿱⺈丨
骨	⿱冎肉
爫	⿱一𭕄
比	⿰𠤎𠤎
皮	⿰[⿱⿻丨乛丿]又
采	⿱爪木
金	⿱入玉/⿱人玉
釒	⿱入玉/⿱人玉
钅	⿱𠂉王
韋	⿻囗夅/⿴夅囗
韦	⿻[⿻丨二]𠃌/⿻丨三
風	⿱凡虫
风	⿱几㐅
麥	⿱來夊
麦	⿱龶夊
齒	⿱止[⿶凵⿱丛从]/⿱[⿶凵⿱丛从]止
香	⿱禾甘
赤	⿱大火/⿱2火1大
老	⿱耂𠤎
里	⿱田土/⿱2土1田
高	⿱[⿳亠口冖]口
鼓	⿰壴支
龠	⿱⿱亼⿲口口口冊/⿱⿱亼品冊
青	⿱龶月/⿱龶丹
上	⿱卜一
下	⿱一卜
天	⿱一大
